Section,Topic,Topic_ID ,Level,Question,Option A,Option B,Option C,Option D,Correct,Explanation
advanced,General,0,hard,Which Machine Learning type learns patterns without labeled output data?,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Deep Learning,b,"Unsupervised learning works with unlabeled data and tries to discover hidden patterns or groupings, such as clustering similar data points."
basics,Artificial Intelligence,1,,Learning based on reward and punishment is called:,Supervised Learning,Unsupervised Learning,Reinforcement Learning,Semi-supervised Learning,c,Reinforcement learning involves an agent interacting with an environment and learning actions based on rewards or penalties to maximize long-term benefit.
advanced,General,0,hard,Predicting whether an email is spam or not is an example of:,Regression,Clustering,Classification,Optimization,c,"Classification predicts discrete class labels, such as spam or not spam, whereas regression predicts continuous numerical values."
advanced,General,0,hard,Predicting house prices is an example of:,Classification,Regression,Clustering,Reinforcement Learning,b,"Regression is used when the output is a continuous numerical value, such as price, temperature, or salary."
advanced,General,0,hard,A collection of data used to train or test a machine learning model is called:,Algorithm,Dataset,Feature,Model,b,"A dataset is a structured collection of data used for training, testing, or validating a machine learning model."
advanced,General,0,hard,Individual input variables used by a model to make predictions are known as:,Labels,Targets,Features,Outputs,c,Features are the measurable properties or characteristics of data that the model uses to learn patterns.
basics,Artificial Intelligence,1,,Correct output values associated with input data are called:,Features,Predictions,Labels,Parameters,c,Labels represent the correct answers in supervised learning and are used to guide the model during training.
basics,Machine Learning Fundamentals,2,,Which dataset is used to evaluate the final performance of a trained model?,Training dataset,Validation dataset,Testing dataset,Raw dataset,c,The testing dataset is used after training to measure how well the model performs on unseen data.
advanced,General,0,easy,"In machine learning, a model is best described as:",A database table,A fixed rule set,A learned representation from data,A hardware component,c,A model represents what the system has learned from data and is used to make predictions on new inputs.
basics,Machine Learning Fundamentals,2,,The difference between the actual output and predicted output is called:,Feature,Error,Loss function,Accuracy,b,Error represents how far a model’s prediction is from the true value. It indicates the correctness of a single prediction.
advanced,General,0,easy,Mean Squared Error (MSE) is calculated by:,Squaring and averaging prediction errors,Averaging absolute errors,Counting correct predictions,Maximizing loss values,a,"MSE squares each prediction error and then averages them, giving more penalty to larger errors."
basics,Machine Learning Fundamentals,2,,Which metric has the same unit as the target variable?,MSE,Accuracy,RMSE,Precision,c,"RMSE is the square root of MSE, so its unit matches the original output variable, making it easier to interpret."
advanced,General,0,medium,Accuracy in classification problems is defined as:,Correct positive predictions / total positives,Correct predictions / total predictions,False positives / total predictions,Prediction error rate,b,"Accuracy measures the proportion of total predictions that are correct, including both positive and negative classes."
advanced,General,0,hard,Which metric is most useful when false negatives are costly?,Precision,Accuracy,Recall,RMSE,c,"Recall focuses on capturing all actual positive cases, making it important when missing a positive outcome is risky."
advanced,General,0,easy,"In machine learning, probability mainly helps in:",Writing algorithms,Measuring uncertainty in predictions,Increasing model speed,Reducing dataset size,b,Probability is used to handle uncertainty in data and predictions. Many ML models estimate how likely an outcome is rather than giving a fixed answer.
basics,Machine Learning Fundamentals,2,,A variable whose value depends on the outcome of a random process is called:,Feature,Constant,Random Variable,Label,c,"A random variable represents numerical outcomes of uncertain events, such as prediction errors or class probabilities."
advanced,General,0,easy,A probability distribution describes:,Model architecture,How data values are spread,Algorithm complexity,Training speed,b,"A probability distribution shows how likely different values of a variable are. In ML, it helps model data behavior and noise."
advanced,General,0,medium,Which distribution is most commonly assumed for real-world data in ML?,Uniform Distribution,Poisson Distribution,Normal Distribution,Bernoulli Distribution,c,"The normal distribution appears frequently in real-world data and is widely used in ML assumptions due to its symmetric, bell-shaped nature."
advanced,General,0,easy,Variance in a dataset measures:,Central value of data,Model accuracy,Spread of data around the mean,Prediction correctness,c,"Variance indicates how much data values deviate from the mean. High variance means data is widely spread, affecting model stability."
advanced,General,0,medium,The main objective of optimization in machine learning is to:,Increase model complexity,Maximize dataset size,Minimize the loss function,Improve hardware efficiency,c,Optimization focuses on adjusting model parameters so that the loss (error) between predicted and actual values is as small as possible.
basics,Machine Learning Fundamentals,2,,An objective function in ML is used to:,Store training data,Measure model performance numerically,Generate features,Split datasets,b,The objective function provides a numerical measure (loss or cost) that tells how well or poorly a model is performing.
advanced,General,0,medium,Gradient Descent is best described as:,A data preprocessing technique,A rule-based learning method,An optimization method to reduce loss,A classification algorithm,c,Gradient Descent iteratively updates model parameters in the direction that reduces the loss function.
basics,Types of Machine Learning,3,,A local minimum is a point where:,Loss is maximum globally,Loss is minimum among nearby values,Loss becomes zero,Training stops immediately,b,"A local minimum is the lowest point in a small region, but it may not the overall lowest (global minimum)."
advanced,General,0,medium,Convergence in machine learning training means:,Model accuracy is zero,Parameters stop changing significantly,Dataset is exhausted,Model starts overfitting,b,"Convergence occurs when further training does not significantly reduce loss, indicating the model has stabilized."
advanced,General,0,hard,A confusion matrix is mainly used to:,Train a machine learning model,Optimize model parameters,Evaluate classification performance,Store feature values,c,"A confusion matrix summarizes classification results using true positives, false positives, true negatives, and false negatives. It helps analyze where the model is making correct or incorrect decisions."
basics,Types of Machine Learning,3,,Which pair of metrics is directly derived from the confusion matrix?,MSE and RMSE,Mean and variance,Precision and Recall,Loss and cost,c,Precision and recall are calculated using values from the confusion matrix. They measure correctness of positive predictions and ability to find all positives.
advanced,General,0,hard,The precision–recall tradeoff means:,Both always increase together,Improving precision may reduce recall,Recall is independent of precision,Accuracy replaces both,b,"Increasing precision often makes the model more selective, which can cause some positive cases to be missed, reducing recall."
advanced,General,0,hard,Model comparison is performed to:,Increase dataset size,Select the best-performing model,Reduce training time only,Eliminate evaluation metrics,b,Multiple models are compared using evaluation metrics to choose the one that performs best and generalizes well to unseen data.
advanced,General,0,hard,A reliable machine learning model is one that:,Performs well only on training data,Gives random predictions,Generalizes well to new data,Has maximum complexity,c,"Model reliability depends on consistent performance on unseen data, not just high training accuracy."
advanced,General,0,hard,A heuristic function is best described as:,An exact cost to reach the goal,A random guess,An estimate of the cost to reach the goal,A fixed rule,c,Heuristics guide informed search by estimating the remaining cost to the goal; they improve search efficiency but are not exact.
advanced,General,0,easy,Knowledge representation in AI is required to:,Store data only,Enable machines to reason and infer,Increase processing speed,Reduce algorithm complexity,b,"Structured knowledge allows systems to make inferences, answer queries, and reason about the world."
advanced,General,0,easy,Unsupervised learning is mainly used for:,Prediction with labels,Reward maximization,Discovering hidden patterns,Rule execution,c,"Unsupervised methods find structure (clusters, associations) in unlabeled data."
basics,Types of Machine Learning,3,,Reinforcement learning is characterized by:,Labeled datasets,Clustering techniques,Learning through rewards and penalties,Static decision rules,c,RL agents learn optimal policies through interaction and feedback rather than labeled examples.
advanced,General,0,hard,Classification algorithms are used when the output is:,Continuous,Numeric only,Categorical,Random,c,Classification predicts discrete categories (classes) rather than continuous values.
basics,Types of Machine Learning,3,,Regression algorithms are primarily used to:,Group similar data,Predict continuous values,Assign class labels,Optimize search trees,b,"Regression estimates numeric quantities (e.g., prices, temperatures) from input features."
advanced,General,0,medium,Clustering algorithms belong to:,Supervised learning,Reinforcement learning,Unsupervised learning,Semi-supervised learning,c,Clustering groups data by similarity without using labeled outputs.
advanced,General,0,easy,Poor model performance on new data indicates:,High accuracy,Good generalization,Overfitting or underfitting,Correct learning,c,Generalization failure usually means the model is too simple (underfit) or too complex (overfit).
basics,Types of Machine Learning,3,,The relationship between AI and ML is best described as:,ML is unrelated to AI,AI is a subset of ML,ML is a subset of AI,Both are identical,c,Machine Learning sits inside AI as the area that focuses on algorithms that learn from data.
advanced,General,0,easy,Which statement is most accurate?,All AI systems use ML,All ML systems are AI systems,AI does not involve learning,ML replaces AI,b,ML systems perform intelligent tasks and therefore are part of AI; some AI systems may use rule-based methods instead.
basics,Data & Model Concepts,4,,Which of the following is an example of a token?,Entire paragraph,Single word,Full document,Database table,b,Tokens are atomic text units (usually words or meaningful subwords) produced by tokenization.
advanced,General,0,medium,Which of the following is commonly considered a stop word?,Algorithm,Intelligence,The,Learning,c,"High-frequency function words (e.g., “the”, “is”) commonly get removed because they add little semantic value."
advanced,General,0,easy,Which is a limitation of stemming?,High accuracy,Language independence,Produces non-meaningful root words,High computational cost,c,"Stemmers often cut words crudely, yielding roots that aren’t valid dictionary words."
advanced,General,0,easy,Lemmatization differs from stemming because it:,Ignores word meaning,Produces grammatically correct base words,Works faster than stemming,Removes punctuation only,b,Lemmatization uses morphological analysis and vocabulary to return valid lemmas (dictionary forms).
advanced,General,0,hard,Which process is more linguistically accurate?,Tokenization,Stop word removal,Stemming,Lemmatization,d,"Lemmatization accounts for context and grammar, producing more accurate base forms than stemming."
advanced,General,0,hard,The NLP pipeline represents:,Hardware flow,Network communication,Sequence of steps to process text,Compiler phases,c,An NLP pipeline is the ordered sequence (preprocessing → modeling → postprocessing) for handling text data.
advanced,General,0,easy,Which step usually comes first in an NLP pipeline?,Model training,Tokenization,Text preprocessing,Output generation,c,Cleaning and normalization are done before tokenization or model steps.
basics,Data & Model Concepts,4,,NLP models are mainly designed to:,Store text,Translate hardware instructions,Learn patterns in language data,Compress files,c,NLP models learn statistical/semantic patterns to perform tasks like classification and translation.
advanced,General,0,easy,Which NLP task identifies emotions or opinions in text?,Named Entity Recognition,Sentiment Analysis,Tokenization,Parsing,b,Sentiment analysis classifies text by emotional tone (positive/negative/neutral).
advanced,General,0,hard,The main advantage of distributed databases is:,Increased redundancy and availability,Reduced complexity,Elimination of network usage,Lower data volume,a,Distributing data improves fault tolerance and service availability through redundancy.
basics,Data & Model Concepts,4,,Which issue is a major challenge in distributed databases?,Data normalization,Data consistency,Data formatting,File compression,b,Ensuring all replicas remain consistent despite network partitions and delays is difficult.
advanced,General,0,easy,Which of the following is a database security threat?,Indexing,SQL Injection,Normalization,View creation,b,SQL injection exploits unsanitized inputs to manipulate queries and access data illegally.
advanced,General,0,hard,Query optimization aims to:,Increase query length,Reduce query execution time,Increase data redundancy,Avoid indexes,b,"Optimizers choose efficient execution plans to lower cost (time, I/O) of queries."
basics,Data & Model Concepts,4,,Which factor heavily influences query optimization?,Programming language,Query execution plan,Screen resolution,Operating system,b,"The execution plan determines join orders, index use, and access paths that affect performance."
advanced,General,0,easy,Transaction management ensures:,Data duplication,User authentication,Reliable execution of database operations,Query rewriting,c,"Transaction systems ensure atomicity, consistency, isolation, and durability (ACID)."
advanced,General,0,easy,Which property ensures that a transaction is all-or-nothing?,Consistency,Isolation,Atomicity,Durability,c,Atomicity guarantees either all operations succeed or none do.
advanced,General,0,easy,Isolation in transactions means:,Transactions execute one after another only,Transactions do not affect each other’s intermediate states,Transactions are permanently stored,Transactions are encrypted,b,Isolation prevents intermediate transaction states from being seen by other concurrent transactions.
basics,Data & Model Concepts,4,,Data integrity ensures that:,Data is backed up,Data is accurate and consistent,Data is encrypted,Data is compressed,b,"Integrity constraints (PK, FK, checks) maintain correctness and validity of data."
advanced,General,0,hard,Which constraint enforces data integrity?,Firewall,Primary key,Cache,Index,b,"Primary keys uniquely identify records, preventing duplicates and maintaining entity integrity."
advanced,General,0,hard,"Structured, semi-structured, and unstructured data relate to:",Velocity,Volume,Variety,Value,c,"Variety captures different data formats (tables, JSON, text, images) handled in Big Data."
advanced,General,0,hard,Big Data Analytics mainly focuses on:,Data entry,Data visualization only,Extracting insights from large datasets,Data compression,c,"Analytics turns raw, large-scale data into actionable insights for decisions."
advanced,General,0,medium,Which is a limitation of batch processing?,High accuracy,High latency,Low storage requirement,Parallel execution,b,"Batch methods have delays between data arrival and result availability, unsuitable for time-critical tasks."
basics,"Error, Loss & Evaluation Metrics",5,,Stream processing is mainly used when:,Data is static,Immediate analysis is required,Data is archived,Storage cost is high,b,Stream processing analyzes continuous data flows in near real-time.
advanced,General,0,hard,Which processing type supports real-time analytics?,Batch processing,Offline processing,Stream processing,Sequential processing,c,"Low-latency stream systems (e.g., Kafka+Flink) support immediate analytics."
basics,"Error, Loss & Evaluation Metrics",5,,A major challenge in Big Data Analytics is:,Too little data,Data quality and consistency,Lack of tools,Lack of storage,b,"Noisy, missing, or inconsistent data can severely limit analysis quality."
basics,"Error, Loss & Evaluation Metrics",5,,Big Data tools are primarily designed to:,Replace programming languages,Handle distributed data storage and processing,Improve UI design,Encrypt data,b,"Frameworks (Hadoop, Spark) are built for parallel, distributed processing of massive datasets."
basics,"Error, Loss & Evaluation Metrics",5,,Which property allows Big Data systems to scale horizontally?,Centralization,Distributed computing,Manual configuration,Single-threading,b,Horizontal scaling adds nodes to distribute load across machines.
advanced,General,0,easy,Why traditional DBMS fail with Big Data?,They are too secure,They cannot scale efficiently,They store too much data,They are cloud-based,b,"Traditional RDBMS struggle with extreme volume, velocity, and variety without distributed architecture."
advanced,General,0,medium,Which Big Data processing approach prioritizes low latency?,Batch,Offline,Stream,Sequential,c,Stream processing minimizes latency for time-sensitive analytics.
basics,"Error, Loss & Evaluation Metrics",5,,Image representation usually depends on:,CPU speed,Pixel intensity values,Network bandwidth,Storage device,b,Each pixel’s intensity or color value encodes the image content.
advanced,General,0,medium,Image enhancement is mainly a:,Subjective process,Compression technique,Data storage method,Network operation,a,"Enhancement is often tuned to visual preferences and intended use, not a single objective metric."
advanced,General,0,easy,Which operation changes the geometric structure of an image?,Image filtering,Image transformation,Image enhancement,Image acquisition,b,"Transformations include rotation, scaling, translation — they alter geometry."
advanced,General,0,medium,Image transformation is useful for:,Noise addition,Size and orientation changes,Color removal,Pixel deletion,b,"Transforms prepare images for alignment, registration, or multi-scale analysis."
advanced,General,0,medium,Image filtering is mainly used to:,Increase file size,Remove noise or extract features,Encrypt images,Store images,b,"Filters (low-pass, high-pass) smooth or highlight structures for further analysis."
advanced,General,0,easy,Which filtering operation is used for noise reduction?,Edge detection,Smoothing filter,Sharpening filter,Thresholding,b,"Smoothing (mean, median) reduces random noise by aggregating neighboring pixel values."
advanced,General,0,hard,Sharpening filters are used to:,Blur the image,Reduce resolution,Highlight edges and details,Remove pixels,c,High-pass or unsharp masking emphasizes boundaries and fine details.
basics,Probability & Distributions,6,,Image analysis focuses on:,Image storage,Image visualization,Extracting meaningful information,Color correction,c,"Analysis includes segmentation, detection, recognition to make decisions based on image content."
advanced,General,0,easy,Which task belongs to image analysis?,Brightness adjustment,Contrast stretching,Object detection,Image resizing,c,Object detection identifies and locates items within images — a core analysis task.
basics,Probability & Distributions,6,,Digital image fundamentals include:,"Pixel, resolution, intensity","Compiler, memory, CPU","Bandwidth, latency","Token, word, sentence",a,These fundamentals define representation and quality of images.
advanced,General,0,hard,Which factor directly affects model convergence?,Screen resolution,Learning process efficiency,Programming language,File format,b,"Optimization algorithm, learning rate, and batch size influence how quickly/robustly a model converges."
basics,Probability & Distributions,6,,Which problem is caused by too many irrelevant features?,Underfitting,Overfitting,Data leakage,Concept drift,b,Irrelevant features add noise and complexity that can cause a model to memorize training data.
basics,Probability & Distributions,6,,Model tuning mainly involves adjusting:,Dataset labels,Hyperparameters,File structures,Database indexes,b,"Hyperparameters (learning rate, regularization, depth) are tuned to improve model performance."
advanced,General,0,hard,Which action improves generalization of a model?,Increasing model complexity blindly,Reducing training data,Proper feature selection and tuning,Ignoring validation data,c,Careful feature engineering and hyperparameter tuning reduce overfitting and improve test performance.
basics,Probability & Distributions,6,,Performance evaluation is essential to:,Speed up training,Compare different models objectively,Increase dataset size,Avoid preprocessing,b,"Metrics (accuracy, F1, RMSE) let you judge models under consistent criteria."
advanced,General,0,medium,Which scenario requires advanced ML techniques?,Small static datasets,Simple rule-based systems,"High-dimensional, real-world data",Manual calculations,c,"Complex, noisy, high-dimensional problems need robust algorithms (regularization, ensembles)."
advanced,General,0,medium,Advanced ML techniques are especially useful when:,Data is perfectly clean,Relationships are simple,Patterns are non-linear and complex,Output is always binary,c,"Non-linear models (e.g., deep nets, kernel methods) capture complex relationships better than linear models."
advanced,General,0,medium,Which issue is addressed by optimization techniques?,Data formatting,High prediction error,User authentication,File corruption,b,Optimization minimizes the loss function to reduce prediction error.
basics,Optimization & Learning Concepts,7,,Feature selection helps MOST with:,Data storage,Model interpretability,Network speed,File compression,b,Selecting key features simplifies models and makes them easier to explain.
basics,Optimization & Learning Concepts,7,,Why is model tuning necessary even after good training?,Training is always perfect,Default parameters are optimal,Different datasets need different settings,It reduces data size,c,Optimal hyperparameters depend on data distribution and problem specifics.
basics,Optimization & Learning Concepts,7,,A reward in RL is:,Always positive,A fixed constant,Feedback indicating the quality of an action,A stored label,c,Rewards can be positive or negative and provide scalar feedback used to learn better actions.
advanced,General,0,medium,The goal of an RL agent is to:,Maximize immediate reward only,Minimize actions,Maximize cumulative reward over time,Follow fixed rules,c,"Agents optimize expected long-term return, not just one-step gains."
basics,Optimization & Learning Concepts,7,,A policy defines:,The reward value,The environment behavior,The agent’s action strategy,The dataset structure,c,Policy π maps states to actions and can be deterministic or stochastic.
advanced,General,0,easy,The value function estimates:,Reward of one action only,Long-term benefit of a state or action,Dataset size,Environment complexity,b,Value functions (V or Q) predict expected cumulative rewards for states/actions.
advanced,General,0,easy,Which concept models decision-making where outcomes are partly random?,Neural Network,Markov Decision Process (MDP),Decision Tree,Clustering,b,MDPs capture stochastic transitions and reward structures for sequential decisions.
advanced,General,0,easy,An MDP consists of:,"State, action, reward, transition","Input, output, loss","Feature, label, model","Node, edge, graph",a,These elements fully describe the dynamics an agent interacts with.
basics,Optimization & Learning Concepts,7,,The Markov property means:,Past states never matter,Only the current state determines the future,Rewards are random,Actions are fixed,b,"Given the present state, the next state distribution is independent of earlier history."
advanced,General,0,hard,Exploration in RL refers to:,Choosing the best-known action,Trying new actions to gain information,Ignoring rewards,Stopping learning,b,Exploration is needed to discover actions that might yield higher returns in the long run.
basics,Model Evaluation & Reliability,8,,Exploitation means:,Random action selection,Trying unknown actions,Using learned knowledge to maximize reward,Resetting the agent,c,Exploitation leverages the current best-known policy to obtain reward.
basics,Model Evaluation & Reliability,8,,Which is a common challenge in RL?,Too much labeled data,Sparse or delayed rewards,Low computation,Fixed environments,b,Sparse/delayed feedback makes credit assignment and learning much harder.
advanced,General,0,medium,Virtualization is important in cloud computing because it:,Reduces data accuracy,Enables resource sharing,Eliminates servers,Increases hardware cost,b,"Virtualization allows multiple virtual machines or containers to run on a single physical host, improving resource utilization and isolation."
advanced,General,0,medium,Which of the following is a major cloud platform?,MySQL,Hadoop,AWS,Linux,c,"AWS (Amazon Web Services) is a widely used cloud provider offering compute, storage, and platform services."
advanced,General,0,hard,Cloud platforms help data science primarily by providing:,Free hardware,Scalable computing resources on demand,Local-only storage,Static resource allocation,b,Cloud platforms let data scientists scale compute and storage up/down as needed for large-scale experiments and training.
advanced,General,0,hard,One major benefit of cloud computing for organizations is:,Pay-as-you-go pricing,Fixed large upfront costs,Guaranteed zero security risk,No need for networking,a,Pay-as-you-go reduces capital expenditure by charging based on actual resource consumption.
basics,Model Evaluation & Reliability,8,,A key challenge when using cloud for data science is:,Unlimited free compute,Data security and privacy concerns,Lack of scalability,No available tools,b,Storing and processing sensitive data on third-party infrastructure raises compliance and privacy issues.
advanced,General,0,hard,Elasticity in cloud computing refers to:,Fixed resource allocation,Automatic scaling of resources up or down,Manual provisioning only,Hardware flexibility,b,"Elasticity enables automatic adjustment of resources according to workload demand, which is crucial for cost-efficiency."
basics,Model Evaluation & Reliability,8,,Which cloud deployment model offers the most control and security for a single organization?,Public cloud,Private cloud,Community cloud,Shared hosting,b,"Private clouds are dedicated to one organization, giving them more control over security and configuration."
advanced,General,0,medium,High availability in cloud services is commonly achieved by:,Single data center deployment,Redundancy across multiple zones or regions,Disabling backups,Manual failover only,b,Redundant deployments across zones/regions ensure services remain available during failures.
advanced,General,0,easy,Which technology is commonly used to package reproducible data science environments in the cloud?,FTP,"Containers (e.g., Docker)",SMTP,DOS,b,"Containers provide lightweight, reproducible environments that make deployment and scaling of models easier."
advanced,General,0,easy,Which statement is MOST accurate about using cloud for data science?,Cloud eliminates the need for model validation,Cloud enables scalable experimentation and deployment but requires careful cost and security management,Cloud always reduces costs regardless of usage,Cloud removes the need for software engineering skills,b,"Cloud platforms enable rapid scaling and deployment, but teams must manage costs, security, and engineering best practices."
basics,Model Evaluation & Reliability,8,,Which NLP application is widely used in search engines?,Image segmentation,Query understanding,Hardware acceleration,Memory optimization,b,Search engines use NLP to interpret user intent and map queries to relevant documents.
